date,cases_total,Cu_hfmd,Rainyseason,schoolvac
2017-05-13,928.74285,6374.17785,0,0
2017-05-20,1496.307925,7870.485775,0,0
2017-05-27,2012.276175,9882.76195,0,0
2017-06-03,2889.4222,12772.18415,0,0
2017-06-10,3196.6176,15968.80175,0,0
2017-06-17,4940.2272,20909.02895,0,0
2017-06-24,6538.536,27447.56495,1,0
2017-07-01,7700.9424,35148.50735,1,0
2017-07-08,9535.7925,44684.29985,1,0
2017-07-15,11198.4435,55882.74335,1,1
2017-07-22,13839.1245,69721.86785,1,1
2017-07-29,12567.6855,82289.55335,1,1
2017-08-05,7850.757675,90140.31103,0,1
2017-08-12,7897.7682,98038.07923,0,1
2017-08-19,7897.7682,105935.8474,0,1
2017-08-26,7192.610325,113128.4578,0,0
2017-09-02,6158.378775,119286.8365,0,0
2017-09-09,5617.638025,124904.4746,0,0
2017-09-16,4744.995225,129649.4698,0,0
2017-09-23,4363.214,134012.6838,0,0
2017-09-30,3545.111375,137557.7952,0,0
2017-10-07,2845.065225,140402.8604,0,0
2017-10-14,1597.2296,142000.09,0,0
2017-10-21,1547.316175,143547.4062,0,0
